,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,54,,A2,6512 ALMEDA AVENUE,,11692,1,0,1,"2,125","1,428",1960,1,A2,"342,000",10/27/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,7,,A9,612 BEACH 69 STREET,,11692,1,0,1,"2,725","1,344",1960,1,A9,0,2/23/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,3,,A2,506 BEACH 67 STREET,,11692,1,0,1,"4,000","1,015",1930,1,A2,"351,354",10/10/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,15,,A2,532 BEACH 67 STREET,,11692,1,0,1,"4,000","1,483",1940,1,A2,"380,000",10/13/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16035,43,,A5,558 BEACH 69TH STREET,,11692,1,0,1,"1,500","1,500",2004,1,A5,"553,000",9/19/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16037,36,,A9,462 BEACH 64TH STREET,,11692,1,0,1,"2,550","2,016",1940,1,A9,"690,000",6/26/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,46,,A9,453 BEACH 64 STREET,,11692,1,0,1,"2,250","1,530",1960,1,A9,0,10/5/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,56,,A9,433 BEACH 64 STREET,,11692,1,0,1,"2,250","1,530",1960,1,A9,0,6/6/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047,45,,A1,69-30 ALMEDA AVENUE,,11692,1,0,1,"2,000","2,176",1920,1,A1,"525,000",2/22/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,27,,A1,567 BEACH 69TH STREET,,11692,1,0,1,"4,000","1,828",1920,1,A1,"749,000",2/28/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,,A2,6929 BURCHELL AVE,,11692,1,0,1,"6,000","1,736",1955,1,A2,"300,000",3/19/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,64,,A1,544 BEACH 72ND STREET,,11692,1,0,1,"4,000","2,367",1920,1,A1,0,6/16/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16062,10,,A1,74-23 HILLMEYER AVENUE,,11692,1,0,1,"2,000","1,194",1940,1,A1,"300,000",5/25/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16063,15,,A1,363 BARBADOES DRIVE,,11692,1,0,1,"6,000","2,400",2018,1,A1,0,11/2/23
